neo4j_id,type
0,Drug
1,Disease
2,Drug
3,Drug
4,Disease
5,Disease
6,Drug
7,Disease
8,Drug
9,Disease
10,Drug
11,Disease
12,Disease
13,Drug
14,Disease
15,Drug
16,Disease
17,Drug
18,Disease
19,Disease
20,Disease
21,Disease
22,Disease
23,Disease
24,Drug
25,Disease
26,Disease
27,Disease
28,Disease
29,Disease
30,Disease
31,Drug
32,Disease
33,Drug
34,Disease
35,Drug
36,Disease
37,Drug
38,Disease
39,Drug
40,Disease
41,Disease
42,Disease
43,Drug
44,Disease
45,Disease
46,Drug
47,Disease
48,Disease
49,Disease
50,Disease
51,Disease
52,Disease
53,Disease
54,Disease
55,Disease
56,Drug
57,Disease
58,Drug
59,Disease
60,Drug
61,Disease
62,Disease
63,Drug
64,Drug
65,Disease
66,Disease
67,Disease
68,Drug
69,Disease
70,Drug
71,Disease
72,Drug
73,Disease
74,Drug
75,Disease
76,Drug
77,Disease
78,Drug
79,Disease
80,Drug
81,Drug
82,Disease
83,Disease
84,Drug
85,Disease
86,Drug
87,Drug
88,Drug
89,Drug
90,Disease
91,Drug
92,Drug
93,Disease
94,Drug
95,Drug
96,Disease
97,Disease
98,Drug
99,Disease
100,Disease
101,Disease
102,Drug
103,Disease
104,Disease
105,Drug
106,Disease
107,Drug
108,Disease
109,Drug
110,Drug
111,Disease
112,Drug
113,Disease
114,Drug
115,Disease
116,Disease
117,Drug
118,Drug
119,Drug
120,Drug
121,Drug
122,Disease
123,Drug
124,Drug
125,Disease
126,Disease
127,Disease
128,Drug
129,Drug
130,Disease
131,Disease
132,Drug
133,Disease
134,Drug
135,Disease
136,Drug
137,Drug
138,Disease
139,Drug
140,Disease
141,Drug
142,Disease
143,Disease
144,Disease
145,Disease
146,Disease
147,Disease
148,Drug
149,Drug
150,Drug
151,Disease
152,Disease
153,Disease
154,Disease
155,Disease
156,Drug
157,Disease
158,Disease
159,Disease
160,Drug
161,Disease
162,Disease
163,Disease
164,Drug
165,Disease
166,Drug
167,Disease
168,Drug
169,Drug
170,Drug
171,Drug
172,Drug
173,Drug
174,Disease
175,Drug
176,Drug
177,Disease
178,Drug
179,Disease
180,Drug
181,Disease
182,Drug
183,Drug
184,Disease
185,Disease
186,Drug
187,Drug
188,Drug
189,Drug
190,Disease
191,Drug
192,Drug
193,Drug
194,Disease
195,Disease
196,Disease
197,Disease
198,Disease
199,Disease
200,Disease
201,Disease
202,Disease
203,Disease
204,Disease
205,Disease
206,Disease
207,Disease
208,Disease
209,Disease
210,Disease
211,Disease
212,Disease
213,Disease
214,Disease
215,Disease
216,Disease
217,Disease
218,Disease
219,Disease
220,Disease
221,Disease
222,Disease
223,Disease
224,Disease
225,Disease
226,Disease
227,Disease
228,Disease
229,Drug
230,Drug
231,Disease
232,Drug
233,Disease
234,Disease
235,Drug
236,Drug
237,Drug
238,Drug
239,Drug
240,Disease
241,Disease
242,Drug
243,Disease
244,Drug
245,Disease
246,Drug
247,Disease
248,Drug
249,Drug
250,Disease
251,Drug
252,Drug
253,Disease
254,Disease
255,Disease
256,Drug
257,Drug
258,Disease
259,Drug
260,Disease
261,Drug
262,Drug
263,Drug
264,Disease
265,Disease
266,Drug
267,Drug
268,Drug
269,Disease
270,Drug
271,Drug
272,Disease
273,Disease
274,Drug
275,Disease
276,Disease
277,Disease
278,Disease
279,Drug
280,Drug
281,Drug
282,Drug
283,Disease
284,Disease
285,Disease
286,Disease
287,Disease
288,Disease
289,Disease
290,Disease
291,Disease
292,Disease
293,Disease
294,Disease
295,Disease
296,Disease
297,Disease
298,Disease
299,Disease
300,Disease
301,Disease
302,Disease
303,Disease
304,Disease
305,Disease
306,Disease
307,Disease
308,Disease
309,Disease
310,Disease
311,Disease
312,Drug
313,Drug
314,Drug
315,Disease
316,Drug
317,Drug
318,Disease
319,Disease
320,Drug
321,Disease
322,Disease
323,Drug
324,Disease
325,Drug
326,Disease
327,Drug
328,Disease
329,Drug
330,Drug
331,Drug
332,Drug
333,Drug
334,Disease
335,Drug
336,Disease
337,Drug
338,Disease
339,Disease
340,Disease
341,Drug
342,Disease
343,Disease
344,Drug
345,Drug
346,Disease
347,Drug
348,Disease
349,Drug
350,Disease
351,Drug
352,Drug
353,Drug
354,Disease
355,Disease
356,Drug
357,Drug
358,Disease
359,Drug
360,Drug
361,Drug
362,Disease
363,Drug
364,Disease
365,Drug
366,Drug
367,Drug
368,Drug
369,Drug
370,Drug
371,Drug
372,Disease
373,Disease
